star_rating,review_body
1,Really enjoyed this pilot.  Hope they make it into a series.
1,Very funny.
1,Fun and poignant.  Great characterization and portrayal of a Transgender person by Jeffrey Tambor and everyone  in the cast.
1,Favorite &#34;worst movie.&#34;
1,Takes a look at a discrimination against homosexuals that effects the hetero population. Highly recommend.
1,"Great movie, but anything Ann Hathaway is in is bound to be good."
1,too much of unbeivelable thing but it is good int
1,Good documentary. Watch this first before watching the Sean Penn movie.
1,"Great, I have to keep from watching all of the episodes at one setting"
1,Great Show!!!
1,The British know how to make good mysteries. This one is very well done and entertaining.
1,"Was never too interested in watching an Amazon series. I watched the pilot for Sneaky Pete because it seemed interesting, and you can't go wrong with Giovanni Ribisi.  I am very glad I did.  I'd love to see this come out in the same format as Netflix to allow for binge watching, but I will be following this series closely.  Highly recommended."
1,"This is a great series, can't waite to see the next season!"
1,"With a genre as saturated as the American western, it can be difficult to reinvigerate the brand. This film manages to do just that. Or does it? Revolving around the timeless and satisfying dynamic of the &#34;revenge tale&#34;, the movie runs in a fairly predictable pattern. The real character, and the real appeal of the film comes through in some spectacular cinemetography and visual effects. Detail has never been so looked after. From the costumes to the weapons to the set design, one never feels incomplete immersion. Casting was a pleasant surprise here. Mikkelsen plays his lead in the same sincere and intense manner that he always does. And there in may lie the secret here. The entire film smacks of a quiet desperation and some grim certainties that underscore frontier life in the western territories. All in all, there is little to detract from the action, save for the tired and ever staling idea that fossil fuel is the downfall of civilization. See There Will be Blood, etc. All in all, the film was well acted and nicely shot. Definitely worth a look, and must have on Blu-Ray or other HD format."
1,Love this video - very helpful - got me thinking about all kinds of combinations!
1,great show
1,"This young actress  is one to watch out for! I first saw her in the vampire horror film, &#34;Let's me in&#34;. The film was kind of a chick flick, however I loved all the references to punk rock and classical music."
1,It's a great series I would expect everybody to watch it and I can't wait till four
1,Sort of reminded me of a Woody Allen movie.  Good acting but ended abruptly like they just got tired and quit.
1,Good memories.
1,what a way to end it!
1,Really enjoyed this. Great cast crew and story. Looking forward to more!!
0,Like many other viewers I felt the Family edition was a failed project. I watch the series for the International settings and was disappointed that much of season 8 was based in the US.
1,Great show it really keeps you involved. I can't wait for the next season!
1,Great movie with lots of action.
1,ended in a dumb spot but it was ok i guess
0,Could Not Get to work on my Samsung TV - or  blue ray player  -  or through my computer  Will Try again another rainy day in near future
0,You can just go so far with the message that we can all learn valuable lessons from handicapped persons and the bible without crafting a believable story with believable characters.
1,"I watched it. I believe it. And I acted on it by getting out of some of my stocks before September 15, 2015,"
1,Not to keen on the video. At least theres an effort put forth. I would of liked to see some before and after pictures at least. Not to much in helpful information for ten bucks.
1,Gripping drama!
1,This show was amazing. Too bad it got cancelled.
1,Still very good......  waiting for season 5 to get on Prime.....
1,"The best of the best art, astonishing artist and production. Unique point of view for each artist featured on the show."
1,"Gritty, raw, real.  One of the best things on TV."
1,A tremendous series
1,Great
1,It is ok but do my wow to me<br /><br />Thank you
1,Season 2 finds the world embroiled in WWII. It brings many changes to Downton Abbey as well as to each of the characters. The filming is exquisite. The characters are interesting and the actors have become some of my favorite. I only wish it was going to continue beyond season6. Buy all the seasons. It's wonderful viewing and worth owning to watch again and again.
1,"Best TV ever. Magnificent writing, directing, acting and character development.  I wish it would go on weekly."
1,Just an amazing cast!!!
1,"Sad, but eye opening. So easy to loose sight of the human need for worth and dignity in the progress of technology. Well done."
1,"Really great show, didn't expect the ending."
1,really enjoyed the programs they had good plots
1,"If you know Albert Brooks, you know his comedy is dry.  It's not for everyone, but I get a kick out of him.  Debbie Reynolds absolutely makes this movie an enjoyable way to spend an hour and 44 minutes of your time.  It's slow to start but stick with it because once Miss Reynolds hits the screen, it becomes a truly wonderful film with lots of laughable moments...especially if you have older parents who struggle with technology, or acquire quirky habits like freezing every form of food under the sun.  I waited and waited for this film to become available on Amazon Prime but it never showed up.  So I finally bought a digital copy to keep in my collection and am so happy I did."
1,My favorite show of all time!
1,My Children love this show.
1,Who doesn't like gangster shows?
0,"While watching the trailer for this film it states that this is a documentary about a mans journey visiting Jamaica, once you rent the film it gives a small history of what you are about to see.  At this time it states that the film maker decided this material was to spiritual to share and he decided to put all of the content on the shelf.  Only about ten minutes of the film is with someone interviewing people about the haunted history of the island and the rest of the film is merely advertising another film project."
1,Victorian &#34;tech&#34;
1,"excellent! witty, well-directed and acted. Very enjoyable movie."
1,very well done
1,Excellent
1,One of the early movies of her career. Good story. Enjoyed it.
1,Great movie. Should have a higher star rating than it does but it has some plot twists that are not your standard &#34;happy feel good&#34; twists that most people want to see. We love it!
1,Another well done Cohen Bros movie.  Kevin Bacon did a great job playing and looking the part as a crooked cop.
1,Awesome movie
1,Great twists.<br />Love the characters. The story writers for this show are awesome!  Can't wait for the next season!
1,Fun to see some of the self proclaimed badasses tap out
1,If not for game of thrones it would be the greatest series of all time
1,The difference one dedicated teacher can make to changing a whole community....
1,I really liked the pilot. It would be nice to know when I can expect to see episode two.
1,"I enjoyed this short movie series very much. I also wouldn't be surprised if it becomes a popular movie series,I believed it would be a nice change .The  name of the movie it self explains the rest. I stumbled across this on Netflix can't wait for next season to come out.<br />Thank you~Robin~"
1,Great characters with excellent story lines.
0,Really poor production and actors.
0,Zoey Deschanel's eyes were the only reason I kept watching past ten minutes. Unimpressed otherwise.
1,Not as good as seasons 1/2
1,"You don't live life at once. you don't live it a week at a time, a month.....It's moments. Pay attention."
1,I love this show even though it is a bit far out it is very interesting and keeps you on the edge of your seat.  (thanks to Stephan King).<br />Greaat show.
1,Very good movie
1,"Classic TV at its finest, morally sound princpals, family friendly, comedy genius, and Andy Griffith. What more could one ask for? Nothing"
1,So many laughs
1,"This movie was so cute. The perfect movie for movie night with my 11 year old son. He enjoyed it and so did I.<br />It's basically a movie about a 15 year old boy who accidentally steals kevin durrants talent and now becomes the star of his high school.<br />Many great lessons on what is important , like friendships  and being humble.<br />A great watch for the whole family."
0,Horrible acting... Very amateurish.
1,Good show.
1,Good stuff!!
0,"It's hollywood, not scriptural...."
0,"This was definitely an interesting movie.  Different in that the story is told by way of videos sent back and forth.  At first I was confused, but then the actors and the story, and the different, interesting subjects they videoed turned out to be captivating. Very Good."
1,"Still one of Christopher Guest's best films.  Both over the top and subtle all at once.  Features some of the top improvisational actors in America today.  If you've ever been involved in community theater, this is a must-see.  Highly recommend seeing it.  Often!"
1,Cheesy but awesome show
1,Great movie! Gives young adults something to think about.
0,I was disappointed in this one.
1,"I enjoyed this, but it was not what I expected from the title.  I assume &#34;Murder&#34; is a quantity not a crime.  I spend the first couple of minute &#34;Saying, what the&#34;. This is a low budget film about the producer's friends and co workers, who are bicycle couriers.  So it is a little slice of life film, I hope the producer finds another venture."
1,Great show!
1,"Smart, well cast , and lots of fun...hooked from the beginning,,,"
1,"Love it! Smart, well-written story lines with well-developed characters."
0,Too slapstickish silly
1,"Mr. Rogers programs are wonderful for all children. Our little grandson loves watching various episodes. As a retired educator of forty-two years, I can highly recommend the programs as an alternative to the violent and meaningless selections offered today. His gentle, kind way of talking with his audience adds such a personal touch. This world needs more people like Mr. Rogers."
1,Kid likes the series I'm kinda meh about it. 1st one was better than the 2nd.
1,Cannot wait for season 3. It is one of the best I have EVER watched .
1,"Science fiction often asks us to examine worlds different from the one we know. It asks 'if then'? What if socialists win elections across the globe? What if Donald Trump wins in 2016, and is such an amazing leader, him and his brand of leadership serve as a guide for our nation, or perhaps the world, for generations to come? Just as often as it asks, 'if then', it asks, 'what if'? What if energy becomes completely free? What if cloning humans becomes as prevalent a trip to the local doctor? Many might recognize Sci Fi in it's creation of imaginary worlds that ask us to look upon our own world right now, presented in a different perspective, sometimes criticizing current society, or instead, some members in it.<br /><br />There were early or proto 'sci-fi' stories written as long ago as 2,000 years ago but it's been said science fiction as we know it didn't really (and couldn't really) exist until the 1900's when we became more aware of the larger world around us. It's a menace, a threat, a disease, or an ideology that threatens us all. After watching Battleship, I can't help but wonder if characters in the story have to save the whole world in order for it to Science fiction.<br /><br />Do the characters in Battleship save the world? With the speed in which aliens send five space ships to Earth after receiving a radio message from Earth, covering at bare minimum 10 light years distance, and their amazing ability to put up an energy shield covering all of Hawaii and a larger portion of ocean, it is a real question as to whether or not they'd send even more ships? The mystery of their other ships disappearance might mean something to them. Perhaps, though, for whatever reason, our navies did save the Earth.<br /><br />There's some question throughout the film whether or not the aliens are truly hostile, or whether they are merely trying to protect themselves and their mission as the film unwinds (although admittedly over reacting to us Earthlings - or did they under react to the threat we pose)?Quite often they let Earthlings go or be on their way if they do not consider them a threat. Are they going to eliminate or subjugate them later? Who knows, but why take any chances? One of the more interesting scenes in the film is shown from the perspective of one of the alien soldiers. It seems to be a memory or a flashback. We see him and his race at war with and being attacked by another alien race.<br /><br />The escalation to war, or at least fighting, is held out to be a metaphor for a fight between an American navy captain (the lead in the film) and his Korean rival. Our navy captain is punished quite severely for participating in the fight. It's an open question in the mind of the viewer through much of the film - is he being punished so hard because his opponent is Korean, or Asian? Throughout the film, especially the later parts, I couldn't help but see pop singer Rihanna, the female lead, in the role of mate to many of the different male characters (especially the extra pale guy with the buzz cut that often behaved kind of stupidly). The 'shells' being loaded and fired became quite interesting. I don't know what it was. It was a very intense movie. We can always hope they achieve contact. Battleship couldn't have been made without an interracial cast. Or at least it wouldn't have been as interesting - having only the action on screen to interest us.<br /><br />Overall it was a very entertaining film. Overall the plot made a lot of sense. Our victory over much more powerful aliens made a bit less sense. There were some breaks in the action, or explanations that went missing in the film (at what point did night fall and the Aliens somehow lose track of them)?  Battleship may have been cut or reduced in length. If so the film suffered a little bit because of it. Over all the film makes more sense if you consider that the aliens might not be completely hostile, or again, if they don't see us as much of an immediate threat to their selfish plans.<br /><br />One thing is certain, never send out a signal to another planet deep in space we know nothing about in order to contact them. There, I just saved the world.nd out a signal to another planet deep in space we know nothing about in order to contact them. There, I just saved the world."
1,Wonderfully put together
1,"Above average movie.  Not great, but good.  I did enjoy the movie as an avid outdoorsman."
1,Great show
1,great series i love this and my grandson loves it !!!
1,"More, more, give me MORE!!!!"
1,Wish everyone in DC were this transparent
1,We loved the series. It was well produced the the actors were a perfect fit for the characters.
1,Best movie I have ever seen.
1,My granddaughter looooved this movie
1,It overstays its welcome
1,Great show
1,Good movie.  Out of character for Bill Murray; upbeat!
0,Just a long episode
1,Best show ever
1,Like Seinfeld but better.
1,"The show is entertaining, however, very predictable. I can watch it once a week no problem."
1,More!!
0,Waste of money to rent.
0,Can't believe it won an oscar
1,"Wonderful movie, engrossing and as always, superb acting by Emily Watson"
1,These stand ups are really funny if you are not easily offended....
1,I liked the series.
1,"Inventive, funny, action packed with well developed characters.  Great to be introduced to new players and see Ron Glass again."
1,The movie was slow moving but the story line wasn't bad. I couldn't tell if it was a western or love story.
1,Good movie
0,"Love his books, he writes interesting characters but this was a huge disappointment. Thought the casting was poor for the most part.  The portrayal of Bosch was unrecognizable from the Bosch I &#34;knew&#34; in the books. But don't give up, Amazon."
0,Interesting concept buy poor acting. Couldn't get into it.
1,My kids love it very very much. I also like to watch it with my kid. it is a great fun for my family to enjoy Shaun the sheep.  We cann't wait to see next season since we have watched many times the seasons in amazon.
1,"Entertaining, crazy ride!"
0,"Too long, poorly written, bad premise, poor acting"
1,Super cute
1,My wife loves this show. She said that it was six stars out of five. I remember watching it briefly as a kid with my mother. I will take their word for it that it is a good show. You should already know if you like this sort of period piece with family values after the first viewing.
0,Sheriff in NM can only serve 2 consecutive 4 year terms then must step down for 1 term.
1,Good movie
1,"awesome, awesome, awesome"
1,"Good thriller no new ground, chscters were ok."
1,"Depending on your sense of humor, this movie may or may not be comical."
1,Why do my wife and I love this so much?
1,"Love this movie! It is one of my favorites, especially if you enjoy watching birds at all. Light-hearted movie with a touch of comedy and some sentimental moments."
1,More amazing musical mayhem from Terrance. Cant wait to see the sequel.
1,"Starts out kinda slow, leaves you kind like WHAT IS GOIN ON. But it gets better."
1,It kept me riveted for a while but there were too many things happening and you will ask yourself why the heck they put in this and that.
0,I though the show was stupid. I only watched episode 1. It was an hour of my life I'll never get back.
1,Why is everyone dogging this movie? It's a great flick and better than most the garbage out there.
1,it's okay
1,I watched this not knowing what I was going to see.  What a powerful film.  The acting was amazing and the situations rang true to life.
1,"Beautifully shot and narrated. This an extreme environment where people are living off the land as they have for generations. The film is satisfying on many levels; the photography, the content, and Herzog's soothing voice. Highly recommended."
1,Loved it â™¡
1,We enjoyed this movie. It's kind of weird but is something different. Acting and effects nicely done!
1,A good story well acted.  I saw it many years ago and still enjoyed it now.
1,A cult favorite for me.  So sad there has not been another sequel.
1,"This movie was awesome. If you like the rock, and you like a great drama/ heart warming story.. This is it.. I loved it"
1,Thanks
1,"It was a good western movie,something that does not come often in this day. The subtitles threw us off in the beginning, but made sense as we progressed through the movie."
1,"A wonderful coming of age story with two young and very talented stars.  My life in HS was nothing like these kids', but the movie helped me see how much I missed by not seeking out folks like them to be my friends."
1,"On the edge of your seat action, with many twists and turns!"
1,Helen Mitten did great job as a Jewish survivor of WWII. It involves a woman in her 80s trying to recover art stolen from her family by the Nazis.<br />I think the acting was well done and I enjoyed the scenes in Austria of the buildings. Good story. True story.<br /><br />The painting &#34;Woman in Gold&#34; is beautiful and intricately done.
1,Very well presented. Good insights into Wells's life & mind. Enjoyed it. Time well spent.
1,Not bad
0,Enjoyable but lesser quality movie for Reese W than usual
1,"She's growing up!  Glad to see her shed the naive, overly trusting girl and become a woman.  Nice twists in this season."
1,"If you like Film Noir you will like The Twilight Zone. Excellent writing, acting and photography"
1,"A delightfully intense movie.  I actually had to pause it for a little it was getting a little too intense for me.  The end left a little to be desired, but the type of ending was typical for a Japanese film."
1,"Funny show for couples to watch together. Left us hanging can't wait to watch next season,"
1,It's pretty good
1,We loved this movie. It played well on our tv.
1,Very fun family movie!!!
1,Took me 3 times to watch the first episode. Not sure why I would start then didn't want to watch. I am glad that I did. It is a great show.
1,Very good action packed
1,Great Show with slick writing and great actors. I will keep watching the show.
0,Disappointing in every way imaginable. :-P
1,Not sexy......I liked  9 1/2 weeks much better
0,Not exceptional.
1,Amazing show
1,The show continues to be irreveren The show continues to be irrelevant you really reverent  smartly written and well acted
1,Loved it.
1,Good escape film.  Hard to her dialog
1,A long time getting to the point.
1,This was a good episode of season 1.
1,I love any Brit series or movies !
1,Bring this Show back please!!!
0,To slow in getting to any action. Hope it gets better soon.
1,Love this movie
1,A powerful and emotional film that everyone needs to see.
1,Good
1,"I loved this pilot. Sure do wish Amazon would produce more of it.  Love the cast, love the subject matter, (hallucinations or miracles?). Different from anything I've seen before!"
1,"I'm not a TV watcher, but I decided to sample this TV series after it was given a glowing recommendation by a respected podcaster.  Because I wanted to understand the background of the characters and story, I decided to start with episode 1, season 1.  For an American TV series, this is exceptional.  Both main and supporting actors are first rate.  The main character, Alicia Florrick, is struggling with some horrendous family problems as she attempts to resume an interrupted law career.  Conflicts between her family life and career serve as a strong theme for the initial season.  Some episodes end in unexpected ways, while some end without a totally satisfying result.  This adds a strong element of realism to the show.  If you're looking for a thought-provoking show that will keep your interest, give this series strong consideration."
1,Amazing show
1,Awesome
1,Great acting by all and well written and directed.
1,Love it.  Have watched it more than once.
1,"Never saw it on TV, however to on to it by friends. Now we can't stop watching. Watching without commercials is the best way to watch."
0,"I fell asleep, so it wasn't that exciting."
1,a differnt type of syfi.
1,Bummed that season 3 isn't on PRIME
1,Interesting plot and somewhat of a surprise story line-----but as far as I am concerned some of the scenes related to sexual aspect could have been left out and still got the point across .
1,It is a pleasure to watch this show in high qualify video. They did a great<br />job in remastering the original.
1,OK but pretty old by todays standards.
1,Best kids show ever
1,"Love this series.  Sorry we didn't discover it sooner, but it's wondrful to watch it on Amazon Prime."
1,Cannot wait for more episodes!!
1,oh ym god
1,It is totally different in some ways. The cursing is over used. Ham acting even with known stars in the film. Guess I would watch a few more episodes to see how God really works thru John (Angel) to change these burned out  hippies or beach bums.
1,Amazing! I could watch it over and over and never get bored of it!
0,SUPER DISAPPOINTED in the final season... What a waste!! THE season made ABSOLUTELY NO SENSE!!
1,Best movie ever I liked it
1,"Good acting, good script, but the ending a little to good to be true."
1,I thought this program was wonderful!
1,Loved It. Reminds me of our family.
1,"Love, love the show."
1,Very good
0,This is basically a tourism video for Belize. The content is actually not bad and is interesting but the narration is not very cool.
1,Classic wholesome TV!
1,"great movie, good acting, based on true story"
0,"This show is utterly ridiculous. Granted, the book upon which it is based has some pretty crazy stuff in it, but the show has gone off the rails and completely misses the point of the book. The novel, by the great Stephen King shares a lot of DNA with the Twilight Zone classic episode &#34;The Monsters are Due on Maple Street.&#34; In both, aliens mess with a slice of pure Americana (a suburban street, a small New England town), but don't really do much. They have an agenda, but they're very hands off in their methods. The point of each is that we don't need to worry about some alien menace. Under the right conditions, we become worse monsters than any extraterrestrial ones.<br /><br />That may have been the focus in the first season, but since then the show has gone into a crazy Invasion of the Body Snatchers Lite direction. It's pretty terrible."
1,Great show that kept me on the edge of my chair!
1,It was strange to see the host phill when he was younger. I love Amazing race.
1,Hilarious!!!
1,Classic
1,A safe middle of road show
1,A happy ending for a dog and a little boy!
1,Better than Seinfeld
1,Best cooking program ever.
1,"I love this show, I'm still sad that it ended."
1,"Great movie. It's a blatant metaphor for the US/Mexican border and immigration issue, which probably accounts for it's less than amazing critic scores. This film has a heavy liberal bias, and I say that as a liberal myself. If you are strongly conservative and unable to separate your politics from your film-going experience, then this may not be your kind of film. If you could watch Avatar and still sympathize with the protagonists I think you'll be okay, but this issue strikes closer to home for some. I found the storytelling to be compelling and enjoyed the film very much."
1,"This show with real talented actors and actresses who have devoted their lives to practicing the craft of acting, is miles ahead of the talentless mindless crap they call reality TV."
1,Holly / Molly she cries to much....
1,Somewhat like Dowton Abby. More shows like this!
1,it was ok. needed more substance.
1,A show before it's time!  The music by Barrington Phelong is perfectly placed along with inspirational story lines.  The normal canned crime show producers need to watch this to know how to deliver a program that is one for the ages.
1,I thought it was a good movie but I think all his movies a great movies.
1,Very cool movie! Almost like a spy thriller more than a superhero movie.
0,"I love Lou Diamond Phillips.  However, I did not love this movie.  There really wasn't much of a plot.  The whole thing could have been shown in 20 minutes flat.  So fill in the time with seduction, sex, sex seduction and sex; and there you have it.  Sorry Lou.  Love you in Longmire."
1,Great and funny show
0,They must have had an envirorist pay for this movie.
1,Great cast
1,Original still holds up well after all these years.
1,Intelligent script and good actors
1,Keeps you on the edge of your seat the whole time. Really loved it
1,I thought it was a good movie
1,Pretty Pretty Pretty !!
1,"A very slow start, with a promising ending."
1,Great movie. A fun and kid friendly reminder to get up and move and not be so lazy too.
1,Very good show
1,My grandson LOVES this show!
1,"I had been hearing about this TV show for months and decided to check it out. I am hooked. The story lines are creative, the actors look like they are having a great time and the kitsch factor is a 10. It's an hour of escape every week and it just makes me smile. I think it is one of the smarter comedies on TV with some great writing."
0,"HORRID!<br /><br />I wish I could give this zero stars.  This one of the worst movies I have ever seen.  Poor story, poor dialog,poor editing, poor casting, and poor acting..  I can not believe the experienced and well known actors in this movie took on their roles.  Could not even watch it all the way through.<br /><br />The &#34;positive&#34; reviews of this movie must have been associated with the movie and/or studio.<br /><br />Wow, really, really bad."
1,My kind of show
1,The title says it all.
1,Well done
0,"Bad acting, unattractive cast, horrible story line and unrealistic female lead. Women are curvey and flawed, not stick skinny and perfect. Not interested in watching this ever again."
1,Husband & kids love this movie!
1,Love love love this movie. I'm a big fan of the Furious 7 family/crew.
1,Amazing show! Entertaining and learning at the same time. Gotta love it!
0,I thought it couldn't possibly be as bad as people said it was. It was.
1,the 18 month old lovesmit
1,Great shoot-em-up and pretty people!
1,Very good!
1,"This movie was one of the best horror movies I have seen in a long time...maybe ever. It has extended suspense down to an art form, leaving me quivering in my seat. I actually shrieked out loud at one point. Excellent movie and I highly recommend this to anyone who loves a good ghost story. You will be impressed...and terrified."
1,Classic!
1,Great story and effects. Kids loved it!
1,"I'm not sure if its the script or the acting, but the quality of the dialogue is poor.  I like the premise of the movie and that is what keeps me watching but I can't help but feel that there was a missed opportunity with this series."
1,"Premise is solid and interesting. Where it lacks is  creativity and cinematography. I wish it had been darker and creepier. They really could have bumped it up a notch by being a bit more detailed and gruesome with the demons. Check out what is supposed to pass for wings. However, I realize this was a small budget horror flick so I enjoyed it for what it's worth."
0,"If it can't be brought, then don't believe the hype. Do your research well before you try to buy. Your only gonna to get hopes up for something that's not attainable."
1,Great movie and storyline
1,O.k.
1,Nail-biting. Love this series....
1,It really shows you how family's should should treat each other
1,Great movie!
1,Grea
1,"OMG! I am a huge fan of the original series, The Walking Dead, and was highly anticipating the newest entry into the Walking Dead universe. It did not disappoint. Even though as an avid fan of the original show and knowing from watching The Walking Dead, that this new series is headed for full scale zombie apocalypse (even though the characters don' know how or what is happening yet), Fear the Walking Dead still managed to create an exciting, nerve-wracking tension, that subtly increased throughout the series premier so that by the end of the first episode I was on the edge of my seat and craving more. Well done, AMC, Robert Kirkman, Gale Ann Herd and the rest of the team behind Fear the Walking Dead. I cannot wait to see where this series is headed!!"
1,It was a super energizing very colorful
1,Historically accurate and we get to see the day to day living of Romans
0,"Weak, no plot, no action, no real monsters...just plain weak"
1,Just amazing!
1,"enjoyed this so much, I've watched it several times."
1,Good story line
1,Funny funny movie...
1,I love 5his show .Too bad they refuse to do it right 9n the big screen . Another Tom Cruise ego trip .
1,Great sci-fi with lots of action Star Trek meets modern-day.
1,"An excellent series, every show is good."
1,Very good movie.
1,just overall great. made me binge.
1,"One of the all time top guy flicks.  Eddie and Nick and a great script.  James Remar is a limited actor, but he does murderous monster very convincingly."
1,True TV trash - for when you are in that mood.
1,If you like action shows this is a good one. If you are offended by nudity or sex by all means stay away from this one! Tends to be a bit over the top on the sex.
1,"well done, straight-up detective show. kind of a throw back to the seventies, like Kojack"
1,Awesome take on a childhood favorite! Loved how each turtle had their own individual & distinct personality that separated themselves from each other.
0,The plot was ok and the main actor didn't seem just like socially shy and cute awkward but more of having a facial distortion problem. In some scenes like at work he seemed to have no problems but around friends he turned into an awkward person. This movie could have been way better.
1,"The Fbi series so far has been informative, but my husband and I turn to each other and say what was the FBI thinking?  In some of the episodes, waiting on the FBI to make a decision on how to handle the case, allows the bad guys (or girls) to get away until the Gmen finally figure out how to capture the fugitives.  Sad."
1,"Fabulous show must see...Even my 10 year old loves Grimm its the only night of the week she begs to stay up and gets her HMWK done quickly so that she can stay up and watch it. We have watched all the seasons thus far, keep bringing it back again and again"
1,Interesting info that you could not see by visiting these places.
1,Superb
1,"Love this show, as does my 4 year old son. Love that it teaches children to &#34;figure it out&#34;"
1,"The best of the Stargate series, in my opinion. It has a cast led by the amazing and well-chose Robert Carlyle, who pulls the rest of the actors up several levels in their performances.<br />The scripts are more adult and more realistic than the average potboiler, too - simple survival requires much intelligence when faced with almost incomprehensible technology and the terrifying hostile environment of deep space. No easy answers. Every scrap of knowledge requires a step into the unknown. And they don't even know where they are in the universe, let alone how to get home.<br />It's a huge, rich canvas for this skilled creative team. So why did it end early? Not because of flaws in the performances or production structure. It was due to SyFy's usual crappy promotion, and so the series ended long before it was out of story-telling potency.<br />Enjoy what's here. Eli is our Everyman."
1,A fun  show.  I wonder where  it will  go next episode
1,My son loves this show!
0,This movie is S***.
1,"this was a good movie. introducing the set to my son, who has seen parts of all of them, but never in their entirety."
1,What's not to love? ;-)
1,great series!!!
1,Good premise - I'm looking forward to more shows
1,Loved it!!! So cute!
1,Great show -  good story line!
1,"Great series, hope there is more"
1,Good doc
1,"Great cast, bittersweet story. It almost felt like a mystery. Martin Landau's performance was impeccable."
1,This is one of my favorite movies!
1,A littlel interesting. Could watch another season or two. Seems to be clean language and scenes witch is a blessing I stead of the trash and violence they show mostly now a days.
1,Greatest series ever they fly by
1,Great movie!
1,I loved it! I need to know what happens next! Giovanni kills it!
1,It's not such a bad. The dialogue could have been better. But the plot was different and interesting.
1,"Wonderful and enchanting fairytale. My husband, I, and our 8 year old granddaughter enjoyed the story very much. It was well written and suspenseful with just the right amount of angst to hold a child's attention without making her sad and ruining the movie for her."
1,Very entertaining
1,It was good.
1,need more episodes. but always love the show.
1,Very entertaining.
1,Memorable!
1,"Couldn't stop watching! Fantastic show, can't wait to see more!"
1,"hello,<br />  a great sci-fi movie.  the plot is unsual, but the story flows smoothly.  the characters are very good.  the guy from mad men plays the rich overbearing father quite well.  sometimes the story gets confused as the characters don't use common sense in protecting each other.  but, as the clock winds down, the story gets better.  what a better place to showcase the future than the old 4th street bridge area... great movie and characters."
1,"I'm not sure how I missed this series to begin with but it is OUTSTANDING.  Funny, quirky and heartwarming all at once. The cast is phenomenal!  Please, please, please renew for Season 3!!!!"
1,Can't believe we missed it when it came out. Great story with good acting and humor sprinkled throughout. We're on season three and it's still interesting and worth watching.
0,Did not like it
1,Can't get enough!
1,"A United Kingdom movie, the accents both vocal and cultural seem to draw the movie out but the ending scenes leave quite an impact and impression on the viewer."
1,Great family movie
1,Well worth the time to watch and enjoy.
1,Love love love this show!!
1,Great series lots of action. Enjoyed it completly!
1,"A great movie - it has great effects, a good plot, reasonable acting, and even some humor.  MUCH better than the likes of Transformers or Battleship."
1,Good show.
1,Great
1,"Wonderful family movie!!  My entire family enjoyed this film, all the way from Grandpa down to our 8 year old grand daughter!"
0,"The subtitles move too fast.  Too much voice-over narration.  Acting is wonderful.  Irony in a drama should be subtle, but in this drama it is in-your-face explosive and never surprises the viewer.  Historically, the flow is well-developed and accurate.  Still, I recommend it for the binge watchers."
1,I just wish someone would create a meme showing Archer quarterbacking for the Seahawks (their backup is RJ Archer). Hilarious show.
1,A lot of action.
1,I LOVE Amazon Prime Instant! Almost as much as the Twilight Zone shows that I watch every night in bed!
0,Suck fest.
1,entertaining. showmanship...touches on contemporary social issues related to his life.
