marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	52278235	R2YUF1NKCBCIO0	B012K5DM0M	370224949	Escobar: Paradise Lost	Digital_Video_Download	3	0	0	N	Y	Three Stars	Interesting!	2015-08-31
US	11473154	RF6K5GC58D2ZY	B00QYJK4ZW	272992238	The Ambassador - The BBC Series: The Complete First Season	Digital_Video_Download	5	0	0	N	Y	A great series. Wish there were more episodes	A great  series.  Wish there were more episodes.	2015-08-31
US	42607758	ROXABAHITY094	B00I3MQNWG	853694223	Bosch Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	Great show	2015-08-31
US	30890264	R2IKG2SEFP7M6S	B009TGO5RA	443666738	Lucky Number Slevin	Digital_Video_Download	5	0	0	N	Y	Five Stars	Very good movie.	2015-08-31
US	25784757	R3NOMNGD3V6I2	B00YR3FG1Y	73666750	An American Girl: Chrissa Stands Strong	Digital_Video_Download	5	0	0	N	Y	Five Stars	My ten year old loved it.	2015-08-31
US	50967536	RAMC1GZ5BCR01	B00YB6804C	564068267	Royal Pains, Season 7	Digital_Video_Download	4	0	0	N	Y	Four Stars	Continues to be a good show.	2015-08-31
US	18432566	R3DLDVH4MOVH8Y	B007944TE8	973845141	In Treatment: Season 2	Digital_Video_Download	4	0	0	N	Y	thoughtful entertainment	Enjoyed season two almost as much as season one. Interesting story lines and characters. Binge-worthy!	2015-08-31
US	13851800	RQJOE47Y8R6EP	B0079W9QDE	875317070	Masterpiece: Inspector Lewis Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	Enjoying rewatching. Watch as PBS program and again on Prime. Will continue to do so.	2015-08-31
US	11274263	R3OG3UN2ULCMFG	B0088W9PD0	565560758	Curb Your Enthusiasm: Season 8	Digital_Video_Download	5	0	0	N	Y	Bust a gut funny!	I've always wanted to say and do some of the same things as Larry David does in this show. Embarrassing results follow Larry, and It is hilarious!	2015-08-31
US	52059835	R38PRKXTH6ZI9S	B00R6SYCNA	504546948	Grantchester Season 1	Digital_Video_Download	3	0	0	N	Y	Three Stars	story line a bit thin	2015-08-31
US	14797499	R38HPF7YCXH46M	B01347V50Y	479335063	Sneaky Pete - Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	Really enjoyed this pilot.  Hope they make it into a series.	2015-08-31
US	15952835	RZ9K4ZI81GXL4	B00X8UKN42	666093513	Catastrophe - Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	Very funny.	2015-08-31
US	20110279	R6T4R3PJY31PT	B00I3MPZUW	360747388	Transparent Season 1	Digital_Video_Download	4	0	0	N	Y	Worth watching te entire season	Fun and poignant.  Great characterization and portrayal of a Transgender person by Jeffrey Tambor and everyone  in the cast.	2015-08-31
US	44655107	R72IEI91JF3YH	B007C86DZO	553852461	Southland Tales	Digital_Video_Download	3	0	1	N	Y	Three Stars	Favorite &#34;worst movie.&#34;	2015-08-31
US	49127407	R151VD8TAS16K8	B010TIITY6	421627117	Gay Positive	Digital_Video_Download	5	0	0	N	N	Great film	Takes a look at a discrimination against homosexuals that effects the hetero population. Highly recommend.	2015-08-31
US	43465292	R1H2VB0ZHMXYSA	B00SML9906	75958147	Song One	Digital_Video_Download	5	0	0	N	Y	Five Stars	Great movie, but anything Ann Hathaway is in is bound to be good.	2015-08-31
US	42672937	R2BSPYO1HGRNB7	B00VFTAIRA	754813341	Avenged	Digital_Video_Download	3	0	1	N	Y	Three Stars	too much of unbeivelable thing but it is good int	2015-08-31
US	8828741	RPG8ILTXQDCPD	B00RCBG0W2	388304539	Return to the Wild - The Chris McCandless Story	Digital_Video_Download	4	0	0	N	Y	Four Stars	Good documentary. Watch this first before watching the Sean Penn movie.	2015-08-31
US	14659990	R28N0XAXUN1M15	B00EC7W70S	732924820	Strike Back: Season 2	Digital_Video_Download	5	0	0	N	Y	Five Stars	Great, I have to keep from watching all of the episodes at one setting	2015-08-31
US	18281435	ROK2O42CI6YGQ	B00NYW5B1E	428150998	Survivor's Remorse, Season 1	Digital_Video_Download	5	0	1	N	Y	One Star	Great Show!!!	2015-08-31
US	52983410	R3J7XY1IDZ7H62	B00TZ9KDFE	667617010	Five Days	Digital_Video_Download	5	0	0	N	Y	Outstanding movie!	The British know how to make good mysteries. This one is very well done and entertaining.	2015-08-31
US	17953341	R38YQCZBU4ILE7	B01347V50Y	479335063	Sneaky Pete - Season 1	Digital_Video_Download	5	0	0	N	Y	Highly Recommended	Was never too interested in watching an Amazon series. I watched the pilot for Sneaky Pete because it seemed interesting, and you can't go wrong with Giovanni Ribisi.  I am very glad I did.  I'd love to see this come out in the same format as Netflix to allow for binge watching, but I will be following this series closely.  Highly recommended.	2015-08-31
US	22450492	R2ZLHQX826B3AI	B00OOKXTFU	801680808	The Worricker Trilogy Season 1	Digital_Video_Download	5	0	0	N	Y	Loved it!	This is a great series, can't waite to see the next season!	2015-08-31
US	13726926	R23R9BFIL1PAZK	B013DS9GUK	825424463	The Salvation	Digital_Video_Download	3	0	2	N	Y	Visual Stunner	With a genre as saturated as the American western, it can be difficult to reinvigerate the brand. This film manages to do just that. Or does it? Revolving around the timeless and satisfying dynamic of the &#34;revenge tale&#34;, the movie runs in a fairly predictable pattern. The real character, and the real appeal of the film comes through in some spectacular cinemetography and visual effects. Detail has never been so looked after. From the costumes to the weapons to the set design, one never feels incomplete immersion. Casting was a pleasant surprise here. Mikkelsen plays his lead in the same sincere and intense manner that he always does. And there in may lie the secret here. The entire film smacks of a quiet desperation and some grim certainties that underscore frontier life in the western territories. All in all, there is little to detract from the action, save for the tired and ever staling idea that fossil fuel is the downfall of civilization. See There Will be Blood, etc. All in all, the film was well acted and nicely shot. Definitely worth a look, and must have on Blu-Ray or other HD format.	2015-08-31
US	36164305	RL95H1BBMGPHA	B00ZE4V01K	559221574	DIY Fresh-Fruit Otter Pops	Digital_Video_Download	5	0	0	N	N	Healthy deserts - thank you!!	Love this video - very helpful - got me thinking about all kinds of combinations!	2015-08-31
US	23684560	R3KLXC1N7XXZX9	B00I3MQNWG	853694223	Bosch Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	great show	2015-08-31
US	41733424	R1NTA2PS7C7K8E	B00OI7J214	508286989	If I Stay	Digital_Video_Download	5	0	0	N	Y	I loved this movie!	This young actress  is one to watch out for! I first saw her in the vampire horror film, &#34;Let's me in&#34;. The film was kind of a chick flick, however I loved all the references to punk rock and classical music.	2015-08-31
US	1969903	R2PRKYT6XYZPFV	B00EC7VQX2	627579257	Boardwalk Empire Season 3	Digital_Video_Download	5	0	0	N	Y	Five Stars	It's a great series I would expect everybody to watch it and I can't wait till four	2015-08-31
US	22566560	R2Y8V6AAV9ITDY	B01489LET4	958081421	She's Funny That Way	Digital_Video_Download	3	0	1	N	Y	Good acting but ended abruptly like they just got tired ...	Sort of reminded me of a Woody Allen movie.  Good acting but ended abruptly like they just got tired and quit.	2015-08-31
US	11930260	R2IYD5BJEMX330	B005HFW8A8	917903750	Mission Impossible Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	Good memories.	2015-08-31
US	13167599	R269P9PPOYHLAG	B00VLV534U	127870212	Furious 7 (Extended Edition)	Digital_Video_Download	5	0	0	N	Y	AWESOME!	what a way to end it!	2015-08-31
US	34768172	R278XSC8NPHHKS	B01348CEDU	479335063	Pilot	Digital_Video_Download	5	0	0	N	N	Five Stars	Really enjoyed this. Great cast crew and story. Looking forward to more!!	2015-08-31
US	52684121	R203639GCLF7XV	B00MYLVPFM	773772186	Amazing Race 8	Digital_Video_Download	1	5	5	N	Y	Like many other viewers I felt the Family edition was ...	Like many other viewers I felt the Family edition was a failed project. I watch the series for the International settings and was disappointed that much of season 8 was based in the US.	2015-08-31
US	8562871	R2NO49POGXJYYO	B00T5486N0	293499424	Vikings Season 3	Digital_Video_Download	5	0	0	N	Y	Ragnar and his crew try to take over the old world! I love it.	Great show it really keeps you involved. I can't wait for the next season!	2015-08-31
US	6824888	R3DXAXYPEV4LHB	B00VLV534U	127870212	Furious 7 (Extended Edition)	Digital_Video_Download	4	0	0	N	Y	Another great addition to the Fast and Furious franchise.	Great movie with lots of action.	2015-08-31
US	47268124	R2OI1WU1M6JE7O	B00TF883VQ	623522777	The Better Angels	Digital_Video_Download	3	0	0	N	Y	Three Stars	ended in a dumb spot but it was ok i guess	2015-08-31
US	44177402	RHEP47APVR3HJ	B00EL8I8IS	757136861	World War Z	Digital_Video_Download	1	0	1	N	Y	Could Not Get to work on my Samsung TV - ...	Could Not Get to work on my Samsung TV - or  blue ray player  -  or through my computer  Will Try again another rainy day in near future	2015-08-31
US	51974754	R2VD2KEGKLOIHD	B014F4KHD6	212684582	Where Hope Grows	Digital_Video_Download	2	0	1	N	Y	You can just go so far with the message that ...	You can just go so far with the message that we can all learn valuable lessons from handicapped persons and the bible without crafting a believable story with believable characters.	2015-08-31
US	14122146	R1ZB6DTLURV396	B00S5D8100	631231065	The Harbinger Decoded	Digital_Video_Download	5	0	0	N	Y	I watched it. I believe it. And I ...	I watched it. I believe it. And I acted on it by getting out of some of my stocks before September 15, 2015,	2015-08-31
US	32715996	R29N84N3F71QXX	B00KQ0I8NA	659401457	Bigger Beautiful Baskets	Digital_Video_Download	3	0	0	N	Y	I would of liked to see some before and after pictures at least	Not to keen on the video. At least theres an effort put forth. I would of liked to see some before and after pictures at least. Not to much in helpful information for ten bucks.	2015-08-31
US	15868898	R1B6JP47DA2X1D	B00J5SV4QC	123371334	24 Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	Gripping drama!	2015-08-31
US	46433929	R3O0NMGIK9WNLW	B000WG6BQO	693511836	The Unit Season 2	Digital_Video_Download	5	0	0	N	Y	Five Stars	This show was amazing. Too bad it got cancelled.	2015-08-31
US	21400819	R3UJG9GDPD017G	B00KPZIEFS	993182891	Suits Season 4	Digital_Video_Download	5	0	0	N	N	Five Stars	Still very good......  waiting for season 5 to get on Prime.....	2015-08-31
US	27260615	R2HDNUIBLEOSFF	B004BBFK18	297707497	Art21: Art in the Twenty-First Century	Digital_Video_Download	5	0	0	N	Y	The best of the best art	The best of the best art, astonishing artist and production. Unique point of view for each artist featured on the show.	2015-08-31
US	36276878	R18APA5Q1ARDV	B00N8MAH8C	302877656	The Wire Season 4	Digital_Video_Download	5	0	0	N	Y	Hard hitting and real!	Gritty, raw, real.  One of the best things on TV.	2015-08-31
US	1411480	RC618N9GK5JWR	B005HF0GKC	392187356	Medium Season 1	Digital_Video_Download	5	0	0	N	Y	Must see	A tremendous series	2015-08-31
US	44553403	R1HU6QZQYUVWYD	B0142KK9EA	550334544	Frozen Fever	Digital_Video_Download	5	0	0	N	Y	Five Stars	Great	2015-08-31
US	16541820	R2IDH2X6LBJ5HC	B00ORJ3CJG	376185137	The Day After Season 1 (English Subtitled)	Digital_Video_Download	3	0	0	N	Y	Three Stars	It is ok but do my wow to me<br /><br />Thank you	2015-08-31
US	47710044	RVU3IIU3V1LEX	B006MW3UZW	682981764	Downton Abbey Season 2	Digital_Video_Download	5	0	0	N	Y	A Wonderful Series Continues	Season 2 finds the world embroiled in WWII. It brings many changes to Downton Abbey as well as to each of the characters. The filming is exquisite. The characters are interesting and the actors have become some of my favorite. I only wish it was going to continue beyond season6. Buy all the seasons. It's wonderful viewing and worth owning to watch again and again.	2015-08-31
US	31589650	R1T5BW77MKEPH2	B00ZOSQAZ2	855258572	Rectify Season 3	Digital_Video_Download	5	0	0	N	Y	Superb!	Best TV ever. Magnificent writing, directing, acting and character development.  I wish it would go on weekly.	2015-08-31
US	14675413	R2O4O4R84C75DE	B005MLOKXA	227075962	The Good Wife, Season 2	Digital_Video_Download	5	0	0	N	Y	Five Stars	Just an amazing cast!!!	2015-08-31
US	37487270	R3SFY7J275JK78	B0107OTD56	984893430	Advantageous	Digital_Video_Download	4	0	0	N	Y	Good movie with deep meaning	Sad, but eye opening. So easy to loose sight of the human need for worth and dignity in the progress of technology. Well done.	2015-08-31
US	41433342	R30XDC8S00SM6A	B009TGO5RA	443666738	Lucky Number Slevin	Digital_Video_Download	5	0	0	N	Y	Five Stars	Really great show, didn't expect the ending.	2015-08-31
US	48801835	RQZRZQLDNZECM	B005LAN0AG	127498407	Masterpiece: Inspector Lewis, Season 4	Digital_Video_Download	5	0	0	N	Y	Five Stars	really enjoyed the programs they had good plots	2015-08-31
US	14235086	R9JCJ9X77DU5R	B004KKK826	477676839	Mother	Digital_Video_Download	5	1	1	N	Y	Enjoyable thanks to Debbie Reynolds!	If you know Albert Brooks, you know his comedy is dry.  It's not for everyone, but I get a kick out of him.  Debbie Reynolds absolutely makes this movie an enjoyable way to spend an hour and 44 minutes of your time.  It's slow to start but stick with it because once Miss Reynolds hits the screen, it becomes a truly wonderful film with lots of laughable moments...especially if you have older parents who struggle with technology, or acquire quirky habits like freezing every form of food under the sun.  I waited and waited for this film to become available on Amazon Prime but it never showed up.  So I finally bought a digital copy to keep in my collection and am so happy I did.	2015-08-31
US	5486113	R2N34KCBJ7UJPL	B006GLLR4A	421502084	Six Feet Under Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	My favorite show of all time!	2015-08-31
US	41423816	R3SQBTH2YS7JLA	B00CF2TEJO	84362054	Shaun the Sheep Season 1	Digital_Video_Download	5	0	0	N	Y	It's a great wholesome show.	My Children love this show.	2015-08-31
US	51838499	R2REH58Y8SW8S2	B006VRDZ44	349778282	Boardwalk Empire: Season 1	Digital_Video_Download	4	0	0	N	Y	Great characters.	Who doesn't like gangster shows?	2015-08-31
US	4431429	R2O1YWBJWZAM7C	B01148DUKI	937081639	Haunted Jamaica	Digital_Video_Download	1	3	6	N	N	While watching the trailer for this film it states that ...	While watching the trailer for this film it states that this is a documentary about a mans journey visiting Jamaica, once you rent the film it gives a small history of what you are about to see.  At this time it states that the film maker decided this material was to spiritual to share and he decided to put all of the content on the shelf.  Only about ten minutes of the film is with someone interviewing people about the haunted history of the island and the rest of the film is merely advertising another film project.	2015-08-31
US	15221153	R3P3TJDN7Y39KG	B00J4YMGWI	306217050	Murdoch Mysteries, Season 6	Digital_Video_Download	5	0	0	N	Y	Five Stars	Victorian &#34;tech&#34;	2015-08-31
US	44867757	RJBHD9SHJPVR1	B009YR74F4	470475974	In The Line Of Fire	Digital_Video_Download	5	0	0	N	Y	In the Line of Fire Is Excellent!	excellent! witty, well-directed and acted. Very enjoyable movie.	2015-08-31
US	26593049	R3JCBKM7ITTFE2	B00PNR5RI0	794811542	Great Estates of Scotland Season 1	Digital_Video_Download	5	0	0	N	Y	Love Scotland	very well done	2015-08-31
US	7492753	RMOLK15NAUH8M	B00V7MGF6S	519183438	Olympus Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	Excellent	2015-08-31
US	12487771	RWKJF0NRHHI0E	B003Y5QSHC	602612284	Kounterfeit	Digital_Video_Download	4	0	0	N	Y	Good story, enjoyable.	One of the early movies of her career. Good story. Enjoyed it.	2015-08-31
US	45713048	R1DC1FE6OY1MVX	B00XOX93GM	763775539	Slow West	Digital_Video_Download	5	0	0	N	Y	Great movie. Should have a higher star rating than ...	Great movie. Should have a higher star rating than it does but it has some plot twists that are not your standard &#34;happy feel good&#34; twists that most people want to see. We love it!	2015-08-31
US	43241636	R4PS36GX45DYN	B013WF2YYE	364032199	Cop Car	Digital_Video_Download	5	0	0	N	Y	Well done, very suspensful!	Another well done Cohen Bros movie.  Kevin Bacon did a great job playing and looking the part as a crooked cop.	2015-08-31
US	17490703	R1JIRIYIH5S44R	B00VLV534U	127870212	Furious 7 (Extended Edition)	Digital_Video_Download	5	0	0	N	Y	Five Stars	Awesome movie	2015-08-31
US	44741467	R39YB6BZ0DOGZ4	B00N9STWJA	121010102	The Good Wife, Season 6	Digital_Video_Download	5	0	0	N	Y	Great twists. Love the characters	Great twists.<br />Love the characters. The story writers for this show are awesome!  Can't wait for the next season!	2015-08-31
US	402786	R2TO0DOT1TIAIB	B00WEWBIMQ	22886979	Naked And Afraid Season 4	Digital_Video_Download	4	0	0	N	Y	Four Stars	Fun to see some of the self proclaimed badasses tap out	2015-08-31
US	10105927	ROZH7YY6FOPCN	B00BSEJR9C	858003185	The Wire Season 1	Digital_Video_Download	5	0	0	N	Y	... not for game of thrones it would be the greatest series of all time	If not for game of thrones it would be the greatest series of all time	2015-08-31
US	51658950	R1263K5DDUQ2X4	B00YORC9NQ	129488850	McFarland, USA (Theatrical)	Digital_Video_Download	4	0	0	N	Y	Refreshing.....	The difference one dedicated teacher can make to changing a whole community....	2015-08-31
US	16935738	R5QCSTJ5ODPDD	B00RSGHX3Q	904397429	Mad Dogs	Digital_Video_Download	5	0	0	N	Y	where are the rest?	I really liked the pilot. It would be nice to know when I can expect to see episode two.	2015-08-31
US	9450092	R1UCUVPA2B7UMF	B013Y87ELC	147234950	Strange Empire Season	Digital_Video_Download	5	0	0	N	N	a awesome mini series you should give it try! :~)	I enjoyed this short movie series very much. I also wouldn't be surprised if it becomes a popular movie series,I believed it would be a nice change .The  name of the movie it self explains the rest. I stumbled across this on Netflix can't wait for next season to come out.<br />Thank you~Robin~	2015-08-31
US	28305393	R3LMVEY5DS4HDE	B008BQ8YHQ	95412366	Suits Season 2	Digital_Video_Download	5	0	0	N	Y	Highly additive	Great characters with excellent story lines.	2015-08-31
US	42150503	R1IMQIW5B70HPL	B012PK1VRI	999218508	Purge	Digital_Video_Download	1	0	1	N	Y	One Star	Really poor production and actors.	2015-08-31
US	35498646	RHSC7677O6JQX	B00828IBX0	690939168	Eulogy	Digital_Video_Download	2	0	1	N	Y	Two Stars	Zoey Deschanel's eyes were the only reason I kept watching past ten minutes. Unimpressed otherwise.	2015-08-31
US	46297306	R3OPM9XGYEP6FA	B00ZP9PPMO	956172056	Under The Dome Season 3	Digital_Video_Download	3	0	0	N	Y	Three Stars	Not as good as seasons 1/2	2015-08-31
US	29505537	R2ABB2ATZA7XIR	B00JP5GRVM	300096985	The Secret Life of Walter Mitty	Digital_Video_Download	5	0	1	N	Y	You don't live life at once. you don't live ...	You don't live life at once. you don't live it a week at a time, a month.....It's moments. Pay attention.	2015-08-31
US	38760045	R3NORAJOEJXLW7	B00ZP9PPMO	956172056	Under The Dome Season 3	Digital_Video_Download	5	0	0	N	Y	The Dome Saga	I love this show even though it is a bit far out it is very interesting and keeps you on the edge of your seat.  (thanks to Stephan King).<br />Greaat show.	2015-08-31
US	714069	R22UG4HREZCHDX	B008ROVTEW	971526666	Space Jam	Digital_Video_Download	5	0	1	N	Y	Five Stars	Very good movie	2015-08-31
US	35478932	R1BCTPSWATIF	B010U2J81E	823871323	Andy Griffith Show Season 1	Digital_Video_Download	5	0	0	N	Y	Classic TV at its finest, morally sound princpals	Classic TV at its finest, morally sound princpals, family friendly, comedy genius, and Andy Griffith. What more could one ask for? Nothing	2015-08-31
US	11519838	RVFXR04XRYYU2	B00APUYN0I	663935341	Pitch Perfect	Digital_Video_Download	5	0	1	N	Y	Five Stars	So many laughs	2015-08-31
US	14685333	R5AY3E6A2ZKL7	B00AHSGG1W	15260693	Thunderstruck (2012)	Digital_Video_Download	5	2	2	N	Y	The perfect movie for movie night with my 11 year old ...	This movie was so cute. The perfect movie for movie night with my 11 year old son. He enjoyed it and so did I.<br />It's basically a movie about a 15 year old boy who accidentally steals kevin durrants talent and now becomes the star of his high school.<br />Many great lessons on what is important , like friendships  and being humble.<br />A great watch for the whole family.	2015-08-31
US	46890098	R2O0IC48D0FJ73	B00DTX7MJ2	562887441	New World Order	Digital_Video_Download	1	0	0	N	Y	ugh, just ugh!	Horrible acting... Very amateurish.	2015-08-31
US	44295924	R1N8F8WCGOT3I8	B00BSEJR9C	858003185	The Wire Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	Good show.	2015-08-31
US	17027437	R2GNRUJLN8KBWC	B00V7MGF6S	519183438	Olympus Season 1	Digital_Video_Download	5	0	0	N	Y	Good stuff!!	Good stuff!!	2015-08-31
US	986207	R138YV2LQ7YVRW	B00JB3MVCW	109782764	Noah	Digital_Video_Download	1	0	0	N	Y	One Star	It's hollywood, not scriptural....	2015-08-31
US	34902415	R3L7XM0PU2QCB9	B00Q2YXGUE	422969932	Hank and Asha	Digital_Video_Download	2	0	1	N	Y	Very Good.	This was definitely an interesting movie.  Different in that the story is told by way of videos sent back and forth.  At first I was confused, but then the actors and the story, and the different, interesting subjects they videoed turned out to be captivating. Very Good.	2015-08-31
US	10142663	R2AFKA135MRDD9	B004G6YRJ4	714126148	Waiting For Guffman	Digital_Video_Download	5	0	1	N	Y	Everything Happens in Blaine	Still one of Christopher Guest's best films.  Both over the top and subtle all at once.  Features some of the top improvisational actors in America today.  If you've ever been involved in community theater, this is a must-see.  Highly recommend seeing it.  Often!	2015-08-31
US	18071839	R31KQE1GJ30LZE	B00L86ZKAK	412049117	Under The Dome, Season 2	Digital_Video_Download	5	0	0	N	Y	Five Stars	Cheesy but awesome show	2015-08-31
US	12521580	RLCFRZILWBDPJ	B00OI7J214	508286989	If I Stay	Digital_Video_Download	5	0	0	N	Y	Loved it!	Great movie! Gives young adults something to think about.	2015-08-31
US	34905105	R16KU2PVNNCKTD	B002GJRP6A	949976151	Warehouse 13 Season 1	Digital_Video_Download	1	0	1	N	Y	One Star	I was disappointed in this one.	2015-08-31
US	32284139	R3RLCQUDJRY93S	B00QP6FXMS	993551556	Murder of Couriers	Digital_Video_Download	4	1	1	N	Y	I enjoyed this, but it was not what I expected ...	I enjoyed this, but it was not what I expected from the title.  I assume &#34;Murder&#34; is a quantity not a crime.  I spend the first couple of minute &#34;Saying, what the&#34;. This is a low budget film about the producer's friends and co workers, who are bicycle couriers.  So it is a little slice of life film, I hope the producer finds another venture.	2015-08-31
US	12612039	R1F5MHDFZ62XJZ	B00N0RTGB4	293370461	The Blacklist Season 2	Digital_Video_Download	5	0	0	N	Y	Five Stars	Great show!	2015-08-31
US	46783042	R3TOT5B7MAMV9D	B005544TRQ	436223062	Suits Season 1	Digital_Video_Download	5	0	0	N	Y	Five Stars	Smart, well cast , and lots of fun...hooked from the beginning,,,	2015-08-31
